Subject,Body,Num of Signature Lines
DJ2 Approval for Commercial Transportation ,"

ALCON,

Please upload the attached into your Intelligence Planning Conference DTS submission (if applicable).  

Also, ensure you send MSG Gruff a copy of your 1610 before departing to the conference.

If you have any issues or concerns, let me know.

vr

MAJ Headache


",1
FW: HQ Morale Trip ,"

ALL,

Shop B is sponsoring a Morale Trip this weekend.  The scheduled date this Sunday night starting at 1600 and ending at 2330.  If you have any personnel who are interested and able to attend please have them contact SPC Good.


v/r

SFC Loudly, Speaks
HQ FUSION NCOIC
SIPR: 123-456-7890
NIPR: 123-456-7890
speaks.v.loudly2@mil@mail.mil  





-----Original Message-----
From: Good, Enlisted I SPC USARMY UBER-HIGHER HIGHER (US) 
Sent: Tuesday, January 26, 2016 5:14 PM
To:   Loudly, Speaks V SFC USARMY UBER-HIGHER HIGHER (US) <speaks.v.loudly2@mil@mail.mil>;   
Cc: Chief, Master MCPO USN (US) <master.chief.mil@mail.mil>; Gruff, Jim R MSG USARMY UBER-HIGHER HIGHER (US) <jim.r.gruff.mil@mail.mil>; Officer, New T 1LT USARMY Q CORPS (US) <new.t.officer12.mil@mail.mil>; 
Subject: FW: HQ Morale Trip 



Leaders,

Shop B is doing as morale trip to Souk Mall this Sunday starting at 1600 and ending at 2330.  There are still 12 spots open for this trip.  Please disseminate to your sections and if you have anyone who would like to attend please email 1LT Officer who is in the CC line.  Thank you and have a great day.

V/R
SPC GOOD ENLISTED
ADMIN SPECIALIST
HIGHER/HQ
DSN-123-4567


-----Original Message-----
From: Officer, New T 1LT USARMY I CORPS (US) 
Sent: Tuesday, January 26, 2016 12:35 PM
To: Good, Enlisted I SPC USARMY UBER-HIGHER HIGHER (US) <enlisted.i.good.mil@mail.mil>
Subject: FW: HQ Morale Trip 


SPC Good,

If you could please forward to the HQ distro.

Thanks boss. Just have them email me the names. 

Respectfully,
LT Officer

ALCON,

The HQ is conducting an MWR Morale trip to shopping center on Sunday January 31st starting at 1600 and ending at 2330.  I need names from your sections that would like to go.  I would like to have the list of personnel going completed by COB Friday January 29th.  If you have any questions or concerns, please let me know.  Thank you and have a great day.

Respectfully,

LT Officer




",11
RE: leave forms ,"

Sir, 

With numbers filled in.

v/r
CW3 Grayhair


-----Original Message-----
From: Slick, Willie T LT USN NAVY (US) 
Sent: Monday, January 25, 2016 9:25 AM
To: Grayhair, Johnny CW3 USARMY UBER-HIGHER HIGHER (US) <johnny.e.Grayhair4.mil@mail.mil>
Subject: RE: leave forms 

Chief, 

 

I need you to fill in the correct phone numbers in the counseling block. Please replace all of the -xxxx numbers as I cannot edit the form. Focus's counseling has the correct numbers. 

 

V/r,

LT S

 

 

________________________________

From: Grayhair, Johnny CW3 USARMY UBER-HIGHER HIGHER (US)
Sent: Sunday, January 24, 2016 9:17 PM
To: Slick, Willie T LT USN NAVY (US)
Subject: leave forms 




Sir, 

Can you sign my leave and counseling form please.  

v/r
CW3 Grayhair



",3
DCS Brief ,"

ALCON,

The DCS briefing was scheduled for 27 Jan @ 1400, however it is reschedule for 30 Jan @ 1000. The next DCS Briefings: 

30 Jan @ 1000 North Conf Rm
10 Feb @ 1400 South Conf Rm
24 Feb @ 1400 South Conf Rm
09 Mar @ 1400 South Conf Rm

v/r

SFC Loudly, Speaks
HQ FUSION NCOIC
SIPR: 123-456-7890
NIPR: 123-456-7890
speaks.v.loudly2@mil@mail.mil  



",5
leave forms ,"

Sir, 

Can you sign my leave and counseling form please.  

v/r
CW3 Grayhair

",1
RE: E5 Evaluation ICO CTR2 NEVERSAIL,"CTR2,

    The timeline and notice for information given to you earlier was completely UNSAT. I apologize for that. PO  Sailor will help you get all information you need for your eval and with a more realistic timeline. You can contact me on highside when you have the chance and I'll ensure it's taken care of. Hope you are continuing to do well out there. Chat with you soon.


V/r
Chief

CTRC(IDW/SW) Sailor Q. Chief
Sunny Hawaii Command
N2C/N2C3 LCPO
Comm: 123-465-7890
sailor.q.chief60.mil@mail.mil


-----Original Message-----
From: Neversail, Petty O PO2 USN SUNNYCOM OAHU HI (US) 
Sent: Thursday, January 21, 2016 1:03 PM
To: Admin; 
Cc: Slick, Willie T LT USN NAVY (US); Chief, Master MCPO USN (US);  Chief, Sailor Q CPO USN COMPACFLT (US)
Subject: E5 Evaluation ICO CTR2 NEVERSAIL

PO1, 

	Attached is a rough draft of my evaluation. This is clearly a ""VERY"" rough draft due to the deadline given. If any further information is required please feel free to ask either on NIPR or high-side. Thank you for helping with me with this and I look forward to working with you when I get back to Sunny Hawaii Command.



Very Respectfully, 
CTR2 NEVERSAIL, PETTY
HIGHER/HQ
Camp Desert, KW
NIPR:Petty.o.NEVERSAIL.mil@mail.mil
SIPR: Petty.o.NEVERSAIL.mil@mail.smil.mil

",11
Travel - IPC 10 Pax (UNCLASSIFIED),"



Gruff/Loudy

0515 - PU PAX
0520 - PU more PAX
0530 - Depart CD
0630 - Arrive Airport
0640 - Depart Airport
0730 - Arrive CD




",0
FW: MWR Trip,"

FYI

Big thing here is to ensure everyone has gone to the cultural awareness brief and receives their card.

v/r
SFC Loudly

-----Original Message-----
From: Good, Enlisted I SPC USARMY UBER-HIGHER HIGHER (US) 
Sent: Wednesday, January 13, 2016 11:06 AM
To: ;  Loudly, Speaks V SFC USARMY UBER-HIGHER HIGHER (US) <speaks.v.loudly2@mil@mail.mil>;   
Cc: Chief, Master MCPO USN (US) <master.chief.mil@mail.mil>; Gruff, Jim R MSG USARMY UBER-HIGHER HIGHER (US) <jim.r.gruff.mil@mail.mil>; 
Subject: MWR Trip

Leaders,

Attached is the list of all personnel I have as attending the trip this Saturday.  I can still add a few more people by COB today.  Please ensure all personnel have a cultural awareness card, or attend the Cultural Awareness class this Friday at the Zone 1 Chapel at 0900.  As we get closer to the trip date I will push out further information.  Thank you and have a great day.

V/R
SPC Good Enlisted
ADMIN SPECIALIST
HIGHER/HQ
DSN-123-4567

",5
Room Inspections ,"

SFC Loudly, 

Everyone in Activities has had their room inspected. No issues were found during inspections.


Very Respectfully, 
CTR2 NEVERSAIL, Jacob
HIGHER/HQ
Camp Desert, KW
NIPR:Petty.o.NEVERSAIL.mil@mail.mil
SIPR: Petty.o.NEVERSAIL.mil@mail.smil.mil


",5
Off Post Memo,"

Sir,

I have attached the memo and risk assessment for Tuesday. You just need to fill in your last four and sign the DD2977.

V/R

WO1 Motivated, Prior
Activities Tech
HIGHER/HQ Activities
NIPR: 123-456-7890


",4
